farmer_id,name,region,farms,phone,joined_at
FAR-043,Farmer 43,Nairobi,3,+254710001591,2024-08-03
FAR-044,Farmer 44,Embu,4,+254710001628,2024-08-08
FAR-045,Farmer 45,Kiambu,2,+254710001665,2024-08-13
FAR-046,Farmer 46,Machakos,3,+254710001702,2024-08-18
FAR-047,Farmer 47,Nakuru,4,+254710001739,2024-08-23
FAR-048,Farmer 48,Nairobi,2,+254710001776,2024-08-28
FAR-049,Farmer 49,Embu,3,+254710001813,2024-09-02
FAR-050,Farmer 50,Kiambu,4,+254710001850,2024-09-07
FAR-051,Farmer 51,Machakos,2,+254710001887,2024-09-12
FAR-052,Farmer 52,Nakuru,3,+254710001924,2024-09-17
FAR-053,Farmer 53,Nairobi,4,+254710001961,2024-09-22
FAR-054,Farmer 54,Embu,2,+254710001998,2024-09-27
FAR-055,Farmer 55,Kiambu,3,+254710002035,2024-10-02
FAR-056,Farmer 56,Machakos,4,+254710002072,2024-10-07
FAR-057,Farmer 57,Nakuru,2,+254710002109,2024-10-12
FAR-058,Farmer 58,Nairobi,3,+254710002146,2024-10-17
FAR-059,Farmer 59,Embu,4,+254710002183,2024-10-22
FAR-060,Farmer 60,Kiambu,2,+254710002220,2024-10-27
FAR-061,Farmer 61,Machakos,3,+254710002257,2024-11-01
FAR-062,Farmer 62,Nakuru,4,+254710002294,2024-11-06
FAR-063,Farmer 63,Nairobi,2,+254710002331,2024-11-11
FAR-064,Farmer 64,Embu,3,+254710002368,2024-11-16
FAR-065,Farmer 65,Kiambu,4,+254710002405,2024-11-21
FAR-066,Farmer 66,Machakos,2,+254710002442,2024-11-26
FAR-067,Farmer 67,Nakuru,3,+254710002479,2024-12-01
FAR-068,Farmer 68,Nairobi,4,+254710002516,2024-12-06
FAR-069,Farmer 69,Embu,2,+254710002553,2024-12-11
FAR-070,Farmer 70,Kiambu,3,+254710002590,2024-12-16
FAR-071,Farmer 71,Machakos,4,+254710002627,2024-12-21
FAR-072,Farmer 72,Nakuru,2,+254710002664,2024-12-26
FAR-073,Farmer 73,Nairobi,3,+254710002701,2024-12-31
FAR-074,Farmer 74,Embu,4,+254710002738,2025-01-05
FAR-075,Farmer 75,Kiambu,2,+254710002775,2025-01-10
FAR-076,Farmer 76,Machakos,3,+254710002812,2025-01-15
FAR-077,Farmer 77,Nakuru,4,+254710002849,2025-01-20
FAR-078,Farmer 78,Nairobi,2,+254710002886,2025-01-25
FAR-079,Farmer 79,Embu,3,+254710002923,2025-01-30
FAR-080,Farmer 80,Kiambu,4,+254710002960,2025-02-04
FAR-081,Farmer 81,Machakos,2,+254710002997,2025-02-09
FAR-082,Farmer 82,Nakuru,3,+254710003034,2025-02-14
FAR-083,Farmer 83,Nairobi,4,+254710003071,2025-02-19
FAR-084,Farmer 84,Embu,2,+254710003108,2025-02-24
FAR-085,Farmer 85,Kiambu,3,+254710003145,2025-03-01
FAR-086,Farmer 86,Machakos,4,+254710003182,2025-03-06
FAR-087,Farmer 87,Nakuru,2,+254710003219,2025-03-11
FAR-088,Farmer 88,Nairobi,3,+254710003256,2025-03-16
FAR-089,Farmer 89,Embu,4,+254710003293,2025-03-21
FAR-090,Farmer 90,Kiambu,2,+254710003330,2025-03-26
FAR-091,Farmer 91,Machakos,3,+254710003367,2025-03-31
FAR-092,Farmer 92,Nakuru,4,+254710003404,2025-04-05
FAR-093,Farmer 93,Nairobi,2,+254710003441,2025-04-10
FAR-094,Farmer 94,Embu,3,+254710003478,2025-04-15
FAR-095,Farmer 95,Kiambu,4,+254710003515,2025-04-20
FAR-096,Farmer 96,Machakos,2,+254710003552,2025-04-25
FAR-097,Farmer 97,Nakuru,3,+254710003589,2025-04-30
FAR-098,Farmer 98,Nairobi,4,+254710003626,2025-05-05
FAR-099,Farmer 99,Embu,2,+254710003663,2025-05-10
FAR-100,Farmer 100,Kiambu,3,+254710003700,2025-05-15
FAR-101,Farmer 101,Machakos,4,+254710003737,2025-05-20
FAR-102,Farmer 102,Nakuru,2,+254710003774,2025-05-25
FAR-103,Farmer 103,Nairobi,3,+254710003811,2025-05-30
FAR-104,Farmer 104,Embu,4,+254710003848,2025-06-04
FAR-105,Farmer 105,Kiambu,2,+254710003885,2025-06-09
FAR-106,Farmer 106,Machakos,3,+254710003922,2025-06-14
FAR-107,Farmer 107,Nakuru,4,+254710003959,2025-06-19
FAR-108,Farmer 108,Nairobi,2,+254710003996,2025-06-24
FAR-109,Farmer 109,Embu,3,+254710004033,2025-06-29
FAR-110,Farmer 110,Kiambu,4,+254710004070,2025-07-04
FAR-111,Farmer 111,Machakos,2,+254710004107,2025-07-09
FAR-112,Farmer 112,Nakuru,3,+254710004144,2025-07-14
FAR-113,Farmer 113,Nairobi,4,+254710004181,2025-07-19
FAR-114,Farmer 114,Embu,2,+254710004218,2025-07-24
FAR-115,Farmer 115,Kiambu,3,+254710004255,2025-07-29
FAR-116,Farmer 116,Machakos,4,+254710004292,2025-08-03
FAR-117,Farmer 117,Nakuru,2,+254710004329,2025-08-08
FAR-118,Farmer 118,Nairobi,3,+254710004366,2025-08-13
FAR-119,Farmer 119,Embu,4,+254710004403,2025-08-18
FAR-120,Farmer 120,Kiambu,2,+254710004440,2025-08-23
FAR-121,Farmer 121,Machakos,3,+254710004477,2025-08-28
FAR-122,Farmer 122,Nakuru,4,+254710004514,2025-09-02
FAR-123,Farmer 123,Nairobi,2,+254710004551,2025-09-07
FAR-124,Farmer 124,Embu,3,+254710004588,2025-09-12
FAR-125,Farmer 125,Kiambu,4,+254710004625,2025-09-17
FAR-126,Farmer 126,Machakos,2,+254710004662,2025-09-22
FAR-127,Farmer 127,Nakuru,3,+254710004699,2025-09-27
FAR-128,Farmer 128,Nairobi,4,+254710004736,2025-10-02
FAR-129,Farmer 129,Embu,2,+254710004773,2025-10-07
FAR-130,Farmer 130,Kiambu,3,+254710004810,2025-10-12
FAR-131,Farmer 131,Machakos,4,+254710004847,2025-10-17
FAR-132,Farmer 132,Nakuru,2,+254710004884,2025-10-22
FAR-133,Farmer 133,Nairobi,3,+254710004921,2025-10-27
FAR-134,Farmer 134,Embu,4,+254710004958,2025-11-01
FAR-135,Farmer 135,Kiambu,2,+254710004995,2025-11-06
FAR-136,Farmer 136,Machakos,3,+254710005032,2025-11-11
FAR-137,Farmer 137,Nakuru,4,+254710005069,2025-11-16
FAR-138,Farmer 138,Nairobi,2,+254710005106,2025-11-21
FAR-139,Farmer 139,Embu,3,+254710005143,2025-11-26
FAR-140,Farmer 140,Kiambu,4,+254710005180,2025-12-01
FAR-141,Farmer 141,Machakos,2,+254710005217,2025-12-06
FAR-142,Farmer 142,Nakuru,3,+254710005254,2025-12-11
FAR-143,Farmer 143,Nairobi,4,+254710005291,2025-12-16
FAR-144,Farmer 144,Embu,2,+254710005328,2024-01-01
FAR-145,Farmer 145,Kiambu,3,+254710005365,2024-01-06
FAR-146,Farmer 146,Machakos,4,+254710005402,2024-01-11
FAR-147,Farmer 147,Nakuru,2,+254710005439,2024-01-16
FAR-148,Farmer 148,Nairobi,3,+254710005476,2024-01-21
FAR-149,Farmer 149,Embu,4,+254710005513,2024-01-26
FAR-150,Farmer 150,Kiambu,2,+254710005550,2024-01-31
FAR-151,Farmer 151,Machakos,3,+254710005587,2024-02-05
FAR-152,Farmer 152,Nakuru,4,+254710005624,2024-02-10
FAR-153,Farmer 153,Nairobi,2,+254710005661,2024-02-15
FAR-154,Farmer 154,Embu,3,+254710005698,2024-02-20
FAR-155,Farmer 155,Kiambu,4,+254710005735,2024-02-25
FAR-156,Farmer 156,Machakos,2,+254710005772,2024-03-01
FAR-157,Farmer 157,Nakuru,3,+254710005809,2024-03-06
FAR-158,Farmer 158,Nairobi,4,+254710005846,2024-03-11
FAR-159,Farmer 159,Embu,2,+254710005883,2024-03-16
FAR-160,Farmer 160,Kiambu,3,+254710005920,2024-03-21
FAR-161,Farmer 161,Machakos,4,+254710005957,2024-03-26
FAR-162,Farmer 162,Nakuru,2,+254710005994,2024-03-31
FAR-163,Farmer 163,Nairobi,3,+254710006031,2024-04-05
FAR-164,Farmer 164,Embu,4,+254710006068,2024-04-10
FAR-165,Farmer 165,Kiambu,2,+254710006105,2024-04-15
FAR-166,Farmer 166,Machakos,3,+254710006142,2024-04-20
FAR-167,Farmer 167,Nakuru,4,+254710006179,2024-04-25
FAR-168,Farmer 168,Nairobi,2,+254710006216,2024-04-30
FAR-169,Farmer 169,Embu,3,+254710006253,2024-05-05
FAR-170,Farmer 170,Kiambu,4,+254710006290,2024-05-10
FAR-171,Farmer 171,Machakos,2,+254710006327,2024-05-15
FAR-172,Farmer 172,Nakuru,3,+254710006364,2024-05-20
FAR-173,Farmer 173,Nairobi,4,+254710006401,2024-05-25
FAR-174,Farmer 174,Embu,2,+254710006438,2024-05-30
FAR-175,Farmer 175,Kiambu,3,+254710006475,2024-06-04
FAR-176,Farmer 176,Machakos,4,+254710006512,2024-06-09
FAR-177,Farmer 177,Nakuru,2,+254710006549,2024-06-14
FAR-178,Farmer 178,Nairobi,3,+254710006586,2024-06-19
FAR-179,Farmer 179,Embu,4,+254710006623,2024-06-24
FAR-180,Farmer 180,Kiambu,2,+254710006660,2024-06-29
FAR-181,Farmer 181,Machakos,3,+254710006697,2024-07-04
FAR-182,Farmer 182,Nakuru,4,+254710006734,2024-07-09
FAR-183,Farmer 183,Nairobi,2,+254710006771,2024-07-14
FAR-184,Farmer 184,Embu,3,+254710006808,2024-07-19
FAR-185,Farmer 185,Kiambu,4,+254710006845,2024-07-24
FAR-186,Farmer 186,Machakos,2,+254710006882,2024-07-29
FAR-187,Farmer 187,Nakuru,3,+254710006919,2024-08-03
FAR-188,Farmer 188,Nairobi,4,+254710006956,2024-08-08
FAR-189,Farmer 189,Embu,2,+254710006993,2024-08-13
FAR-190,Farmer 190,Kiambu,3,+254710007030,2024-08-18
FAR-191,Farmer 191,Machakos,4,+254710007067,2024-08-23
FAR-192,Farmer 192,Nakuru,2,+254710007104,2024-08-28
FAR-193,Farmer 193,Nairobi,3,+254710007141,2024-09-02
FAR-194,Farmer 194,Embu,4,+254710007178,2024-09-07
FAR-195,Farmer 195,Kiambu,2,+254710007215,2024-09-12
FAR-196,Farmer 196,Machakos,3,+254710007252,2024-09-17
FAR-197,Farmer 197,Nakuru,4,+254710007289,2024-09-22
FAR-198,Farmer 198,Nairobi,2,+254710007326,2024-09-27
FAR-199,Farmer 199,Embu,3,+254710007363,2024-10-02
FAR-200,Farmer 200,Kiambu,4,+254710007400,2024-10-07
FAR-201,Farmer 201,Machakos,2,+254710007437,2024-10-12
FAR-202,Farmer 202,Nakuru,3,+254710007474,2024-10-17
FAR-203,Farmer 203,Nairobi,4,+254710007511,2024-10-22
FAR-204,Farmer 204,Embu,2,+254710007548,2024-10-27
FAR-205,Farmer 205,Kiambu,3,+254710007585,2024-11-01
FAR-206,Farmer 206,Machakos,4,+254710007622,2024-11-06
FAR-207,Farmer 207,Nakuru,2,+254710007659,2024-11-11
FAR-208,Farmer 208,Nairobi,3,+254710007696,2024-11-16
FAR-209,Farmer 209,Embu,4,+254710007733,2024-11-21
FAR-210,Farmer 210,Kiambu,2,+254710007770,2024-11-26
FAR-211,Farmer 211,Machakos,3,+254710007807,2024-12-01
FAR-212,Farmer 212,Nakuru,4,+254710007844,2024-12-06
FAR-213,Farmer 213,Nairobi,2,+254710007881,2024-12-11
FAR-214,Farmer 214,Embu,3,+254710007918,2024-12-16
FAR-215,Farmer 215,Kiambu,4,+254710007955,2024-12-21
FAR-216,Farmer 216,Machakos,2,+254710007992,2024-12-26
FAR-217,Farmer 217,Nakuru,3,+254710008029,2024-12-31
FAR-218,Farmer 218,Nairobi,4,+254710008066,2025-01-05
FAR-219,Farmer 219,Embu,2,+254710008103,2025-01-10
FAR-220,Farmer 220,Kiambu,3,+254710008140,2025-01-15
FAR-221,Farmer 221,Machakos,4,+254710008177,2025-01-20
FAR-222,Farmer 222,Nakuru,2,+254710008214,2025-01-25
FAR-223,Farmer 223,Nairobi,3,+254710008251,2025-01-30
FAR-224,Farmer 224,Embu,4,+254710008288,2025-02-04
FAR-225,Farmer 225,Kiambu,2,+254710008325,2025-02-09
FAR-226,Farmer 226,Machakos,3,+254710008362,2025-02-14
FAR-227,Farmer 227,Nakuru,4,+254710008399,2025-02-19
FAR-228,Farmer 228,Nairobi,2,+254710008436,2025-02-24
FAR-229,Farmer 229,Embu,3,+254710008473,2025-03-01
FAR-230,Farmer 230,Kiambu,4,+254710008510,2025-03-06
FAR-231,Farmer 231,Machakos,2,+254710008547,2025-03-11
FAR-232,Farmer 232,Nakuru,3,+254710008584,2025-03-16
FAR-233,Farmer 233,Nairobi,4,+254710008621,2025-03-21
FAR-234,Farmer 234,Embu,2,+254710008658,2025-03-26
FAR-235,Farmer 235,Kiambu,3,+254710008695,2025-03-31
FAR-236,Farmer 236,Machakos,4,+254710008732,2025-04-05
FAR-237,Farmer 237,Nakuru,2,+254710008769,2025-04-10
FAR-238,Farmer 238,Nairobi,3,+254710008806,2025-04-15
FAR-239,Farmer 239,Embu,4,+254710008843,2025-04-20
FAR-240,Farmer 240,Kiambu,2,+254710008880,2025-04-25
FAR-241,Farmer 241,Machakos,3,+254710008917,2025-04-30
FAR-242,Farmer 242,Nakuru,4,+254710008954,2025-05-05
FAR-243,Farmer 243,Nairobi,2,+254710008991,2025-05-10
FAR-244,Farmer 244,Embu,3,+254710009028,2025-05-15
FAR-245,Farmer 245,Kiambu,4,+254710009065,2025-05-20
FAR-246,Farmer 246,Machakos,2,+254710009102,2025-05-25
FAR-247,Farmer 247,Nakuru,3,+254710009139,2025-05-30
FAR-248,Farmer 248,Nairobi,4,+254710009176,2025-06-04
FAR-249,Farmer 249,Embu,2,+254710009213,2025-06-09
FAR-250,Farmer 250,Kiambu,3,+254710009250,2025-06-14
FAR-251,Farmer 251,Machakos,4,+254710009287,2025-06-19
FAR-252,Farmer 252,Nakuru,2,+254710009324,2025-06-24
FAR-253,Farmer 253,Nairobi,3,+254710009361,2025-06-29
FAR-254,Farmer 254,Embu,4,+254710009398,2025-07-04
FAR-255,Farmer 255,Kiambu,2,+254710009435,2025-07-09
FAR-256,Farmer 256,Machakos,3,+254710009472,2025-07-14
FAR-257,Farmer 257,Nakuru,4,+254710009509,2025-07-19
FAR-258,Farmer 258,Nairobi,2,+254710009546,2025-07-24
FAR-259,Farmer 259,Embu,3,+254710009583,2025-07-29
FAR-260,Farmer 260,Kiambu,4,+254710009620,2025-08-03
FAR-261,Farmer 261,Machakos,2,+254710009657,2025-08-08
FAR-262,Farmer 262,Nakuru,3,+254710009694,2025-08-13
FAR-263,Farmer 263,Nairobi,4,+254710009731,2025-08-18
FAR-264,Farmer 264,Embu,2,+254710009768,2025-08-23
FAR-265,Farmer 265,Kiambu,3,+254710009805,2025-08-28
FAR-266,Farmer 266,Machakos,4,+254710009842,2025-09-02
FAR-267,Farmer 267,Nakuru,2,+254710009879,2025-09-07
FAR-268,Farmer 268,Nairobi,3,+254710009916,2025-09-12
FAR-269,Farmer 269,Embu,4,+254710009953,2025-09-17
FAR-270,Farmer 270,Kiambu,2,+254710009990,2025-09-22
FAR-271,Farmer 271,Machakos,3,+254710010027,2025-09-27
FAR-272,Farmer 272,Nakuru,4,+254710010064,2025-10-02
FAR-273,Farmer 273,Nairobi,2,+254710010101,2025-10-07
FAR-274,Farmer 274,Embu,3,+254710010138,2025-10-12
FAR-275,Farmer 275,Kiambu,4,+254710010175,2025-10-17
FAR-276,Farmer 276,Machakos,2,+254710010212,2025-10-22
FAR-277,Farmer 277,Nakuru,3,+254710010249,2025-10-27
FAR-278,Farmer 278,Nairobi,4,+254710010286,2025-11-01
FAR-279,Farmer 279,Embu,2,+254710010323,2025-11-06
FAR-280,Farmer 280,Kiambu,3,+254710010360,2025-11-11
FAR-281,Farmer 281,Machakos,4,+254710010397,2025-11-16
FAR-282,Farmer 282,Nakuru,2,+254710010434,2025-11-21
FAR-283,Farmer 283,Nairobi,3,+254710010471,2025-11-26
FAR-284,Farmer 284,Embu,4,+254710010508,2025-12-01
FAR-285,Farmer 285,Kiambu,2,+254710010545,2025-12-06
FAR-286,Farmer 286,Machakos,3,+254710010582,2025-12-11
FAR-287,Farmer 287,Nakuru,4,+254710010619,2025-12-16
FAR-288,Farmer 288,Nairobi,2,+254710010656,2024-01-01
FAR-289,Farmer 289,Embu,3,+254710010693,2024-01-06
FAR-290,Farmer 290,Kiambu,4,+254710010730,2024-01-11
FAR-291,Farmer 291,Machakos,2,+254710010767,2024-01-16
FAR-292,Farmer 292,Nakuru,3,+254710010804,2024-01-21
FAR-293,Farmer 293,Nairobi,4,+254710010841,2024-01-26
FAR-294,Farmer 294,Embu,2,+254710010878,2024-01-31
FAR-295,Farmer 295,Kiambu,3,+254710010915,2024-02-05
FAR-296,Farmer 296,Machakos,4,+254710010952,2024-02-10
FAR-297,Farmer 297,Nakuru,2,+254710010989,2024-02-15
FAR-298,Farmer 298,Nairobi,3,+254710011026,2024-02-20
FAR-299,Farmer 299,Embu,4,+254710011063,2024-02-25
FAR-300,Farmer 300,Kiambu,2,+254710011100,2024-03-01
FAR-301,Farmer 301,Machakos,3,+254710011137,2024-03-06
FAR-302,Farmer 302,Nakuru,4,+254710011174,2024-03-11
FAR-303,Farmer 303,Nairobi,2,+254710011211,2024-03-16
FAR-304,Farmer 304,Embu,3,+254710011248,2024-03-21
FAR-305,Farmer 305,Kiambu,4,+254710011285,2024-03-26
FAR-306,Farmer 306,Machakos,2,+254710011322,2024-03-31
FAR-307,Farmer 307,Nakuru,3,+254710011359,2024-04-05
FAR-308,Farmer 308,Nairobi,4,+254710011396,2024-04-10
FAR-309,Farmer 309,Embu,2,+254710011433,2024-04-15
FAR-310,Farmer 310,Kiambu,3,+254710011470,2024-04-20
FAR-311,Farmer 311,Machakos,4,+254710011507,2024-04-25
FAR-312,Farmer 312,Nakuru,2,+254710011544,2024-04-30
FAR-313,Farmer 313,Nairobi,3,+254710011581,2024-05-05
FAR-314,Farmer 314,Embu,4,+254710011618,2024-05-10
FAR-315,Farmer 315,Kiambu,2,+254710011655,2024-05-15
FAR-316,Farmer 316,Machakos,3,+254710011692,2024-05-20
FAR-317,Farmer 317,Nakuru,4,+254710011729,2024-05-25
FAR-318,Farmer 318,Nairobi,2,+254710011766,2024-05-30
FAR-319,Farmer 319,Embu,3,+254710011803,2024-06-04
FAR-320,Farmer 320,Kiambu,4,+254710011840,2024-06-09
FAR-321,Farmer 321,Machakos,2,+254710011877,2024-06-14
FAR-322,Farmer 322,Nakuru,3,+254710011914,2024-06-19
FAR-323,Farmer 323,Nairobi,4,+254710011951,2024-06-24
FAR-324,Farmer 324,Embu,2,+254710011988,2024-06-29
FAR-325,Farmer 325,Kiambu,3,+254710012025,2024-07-04
FAR-326,Farmer 326,Machakos,4,+254710012062,2024-07-09
FAR-327,Farmer 327,Nakuru,2,+254710012099,2024-07-14
FAR-328,Farmer 328,Nairobi,3,+254710012136,2024-07-19
FAR-329,Farmer 329,Embu,4,+254710012173,2024-07-24
FAR-330,Farmer 330,Kiambu,2,+254710012210,2024-07-29
FAR-331,Farmer 331,Machakos,3,+254710012247,2024-08-03
FAR-332,Farmer 332,Nakuru,4,+254710012284,2024-08-08
FAR-333,Farmer 333,Nairobi,2,+254710012321,2024-08-13
FAR-334,Farmer 334,Embu,3,+254710012358,2024-08-18
FAR-335,Farmer 335,Kiambu,4,+254710012395,2024-08-23
FAR-336,Farmer 336,Machakos,2,+254710012432,2024-08-28
FAR-337,Farmer 337,Nakuru,3,+254710012469,2024-09-02
FAR-338,Farmer 338,Nairobi,4,+254710012506,2024-09-07
FAR-339,Farmer 339,Embu,2,+254710012543,2024-09-12
FAR-340,Farmer 340,Kiambu,3,+254710012580,2024-09-17
FAR-341,Farmer 341,Machakos,4,+254710012617,2024-09-22
FAR-342,Farmer 342,Nakuru,2,+254710012654,2024-09-27
FAR-343,Farmer 343,Nairobi,3,+254710012691,2024-10-02
FAR-344,Farmer 344,Embu,4,+254710012728,2024-10-07
FAR-345,Farmer 345,Kiambu,2,+254710012765,2024-10-12
FAR-346,Farmer 346,Machakos,3,+254710012802,2024-10-17
FAR-347,Farmer 347,Nakuru,4,+254710012839,2024-10-22
FAR-348,Farmer 348,Nairobi,2,+254710012876,2024-10-27
FAR-349,Farmer 349,Embu,3,+254710012913,2024-11-01
FAR-350,Farmer 350,Kiambu,4,+254710012950,2024-11-06
FAR-351,Farmer 351,Machakos,2,+254710012987,2024-11-11
FAR-352,Farmer 352,Nakuru,3,+254710013024,2024-11-16
FAR-353,Farmer 353,Nairobi,4,+254710013061,2024-11-21
FAR-354,Farmer 354,Embu,2,+254710013098,2024-11-26
FAR-355,Farmer 355,Kiambu,3,+254710013135,2024-12-01
FAR-356,Farmer 356,Machakos,4,+254710013172,2024-12-06
FAR-357,Farmer 357,Nakuru,2,+254710013209,2024-12-11
FAR-358,Farmer 358,Nairobi,3,+254710013246,2024-12-16
FAR-359,Farmer 359,Embu,4,+254710013283,2024-12-21
FAR-360,Farmer 360,Kiambu,2,+254710013320,2024-12-26
FAR-361,Farmer 361,Machakos,3,+254710013357,2024-12-31
FAR-362,Farmer 362,Nakuru,4,+254710013394,2025-01-05
FAR-363,Farmer 363,Nairobi,2,+254710013431,2025-01-10
FAR-364,Farmer 364,Embu,3,+254710013468,2025-01-15
FAR-365,Farmer 365,Kiambu,4,+254710013505,2025-01-20
FAR-366,Farmer 366,Machakos,2,+254710013542,2025-01-25
FAR-367,Farmer 367,Nakuru,3,+254710013579,2025-01-30
FAR-368,Farmer 368,Nairobi,4,+254710013616,2025-02-04
FAR-369,Farmer 369,Embu,2,+254710013653,2025-02-09
FAR-370,Farmer 370,Kiambu,3,+254710013690,2025-02-14
FAR-371,Farmer 371,Machakos,4,+254710013727,2025-02-19
FAR-372,Farmer 372,Nakuru,2,+254710013764,2025-02-24
FAR-373,Farmer 373,Nairobi,3,+254710013801,2025-03-01
FAR-374,Farmer 374,Embu,4,+254710013838,2025-03-06
FAR-375,Farmer 375,Kiambu,2,+254710013875,2025-03-11
FAR-376,Farmer 376,Machakos,3,+254710013912,2025-03-16
FAR-377,Farmer 377,Nakuru,4,+254710013949,2025-03-21
FAR-378,Farmer 378,Nairobi,2,+254710013986,2025-03-26
FAR-379,Farmer 379,Embu,3,+254710014023,2025-03-31
FAR-380,Farmer 380,Kiambu,4,+254710014060,2025-04-05
FAR-381,Farmer 381,Machakos,2,+254710014097,2025-04-10
FAR-382,Farmer 382,Nakuru,3,+254710014134,2025-04-15
FAR-383,Farmer 383,Nairobi,4,+254710014171,2025-04-20
FAR-384,Farmer 384,Embu,2,+254710014208,2025-04-25
FAR-385,Farmer 385,Kiambu,3,+254710014245,2025-04-30
FAR-386,Farmer 386,Machakos,4,+254710014282,2025-05-05
FAR-387,Farmer 387,Nakuru,2,+254710014319,2025-05-10
FAR-388,Farmer 388,Nairobi,3,+254710014356,2025-05-15
FAR-389,Farmer 389,Embu,4,+254710014393,2025-05-20
FAR-390,Farmer 390,Kiambu,2,+254710014430,2025-05-25
FAR-391,Farmer 391,Machakos,3,+254710014467,2025-05-30
FAR-392,Farmer 392,Nakuru,4,+254710014504,2025-06-04
FAR-393,Farmer 393,Nairobi,2,+254710014541,2025-06-09
FAR-394,Farmer 394,Embu,3,+254710014578,2025-06-14
FAR-395,Farmer 395,Kiambu,4,+254710014615,2025-06-19
FAR-396,Farmer 396,Machakos,2,+254710014652,2025-06-24
FAR-397,Farmer 397,Nakuru,3,+254710014689,2025-06-29
FAR-398,Farmer 398,Nairobi,4,+254710014726,2025-07-04
FAR-399,Farmer 399,Embu,2,+254710014763,2025-07-09
FAR-400,Farmer 400,Kiambu,3,+254710014800,2025-07-14
FAR-401,Farmer 401,Machakos,4,+254710014837,2025-07-19
FAR-402,Farmer 402,Nakuru,2,+254710014874,2025-07-24
FAR-403,Farmer 403,Nairobi,3,+254710014911,2025-07-29
FAR-404,Farmer 404,Embu,4,+254710014948,2025-08-03
FAR-405,Farmer 405,Kiambu,2,+254710014985,2025-08-08
FAR-406,Farmer 406,Machakos,3,+254710015022,2025-08-13
FAR-407,Farmer 407,Nakuru,4,+254710015059,2025-08-18
FAR-408,Farmer 408,Nairobi,2,+254710015096,2025-08-23
FAR-409,Farmer 409,Embu,3,+254710015133,2025-08-28
FAR-410,Farmer 410,Kiambu,4,+254710015170,2025-09-02
FAR-411,Farmer 411,Machakos,2,+254710015207,2025-09-07
FAR-412,Farmer 412,Nakuru,3,+254710015244,2025-09-12
FAR-413,Farmer 413,Nairobi,4,+254710015281,2025-09-17
FAR-414,Farmer 414,Embu,2,+254710015318,2025-09-22
FAR-415,Farmer 415,Kiambu,3,+254710015355,2025-09-27
FAR-416,Farmer 416,Machakos,4,+254710015392,2025-10-02
FAR-417,Farmer 417,Nakuru,2,+254710015429,2025-10-07
